sid	text	aspect	sentiment
3121	But the staff was so horrible to us.	service	negative
2777	To be completely fair, the only redeeming factor was the food, which was above average, but couldn't make up for all the other deficiencies of Teodora.	food	positive
1634	The food is uniformly exceptional, with a very capable kitchen which will proudly whip up whatever you feel like eating, whether it's on the menu or not.	food	positive
2534	Where Gabriela personaly greets you and recommends you what to eat.	service	positive
2846	Not only was the food outstanding, but the little 'perks' were great.	food	positive
2846	Not only was the food outstanding, but the little 'perks' were great.	service	positive
1571	It is very overpriced and not very tasty.	food	negative
1571	It is very overpriced and not very tasty.	price	negative
1458	Our agreed favorite is the orrechiete with sausage and chicken (usually the waiters are kind enough to split the dish in half so you get to sample both meats).	food	positive
1458	Our agreed favorite is the orrechiete with sausage and chicken (usually the waiters are kind enough to split the dish in half so you get to sample both meats).	service	positive
3161	The Bagels have an outstanding taste with a terrific texture, both chewy yet not gummy.	food	positive
2391	Nevertheless the food itself is pretty good.	food	positive
296	They did not have mayonnaise, forgot our toast, left out ingredients (ie cheese in an omelet), below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it.	food	negative
2200	The design and atmosphere is just as good.	ambience	positive
3195	He has visited Thailand and is quite expert on the cuisine.	food	positive
3359	The pizza is the best if you like thin crusted pizza.	food	positive
2935	Secondly, on this night the place was overwhelmed by upper east side ladies perfume.	ambience	negative
2559	Obviously run by folks who know a pie.	service	positive
2464	IT IS DEFINITELY SPECIAL AND AFFORDABLE.	price	positive
3534	All the money went into the interior decoration, none of it went to the chefs.	ambience	positive
3534	All the money went into the interior decoration, none of it went to the chefs.	food	negative
1407	The seats are uncomfortable if you are sitting against the wall on wooden benches.	ambience	negative
565	I asked for seltzer with lime, no ice.	food	neutral
387	It was pretty inexpensive too.	price	positive
675	Don't go alone---even two people isn't enough for the whole experience, with pickles and a selection of meats and seafoods.	food	positive
2227	My suggestion is to eat family style because you'll want to try the other dishes.	food	neutral
3367	Best of all is the warm vibe, the owner is super friendly and service is fast.	service	positive
3367	Best of all is the warm vibe, the owner is super friendly and service is fast.	ambience	positive
1210	This isn't a value joint.	price	negative
2191	Faan's got a great concept but a little rough on the delivery.	service	negative
270	From the incredible food, to the warm atmosphere, to the friendly service, this downtown neighborhood spot doesn't miss a beat.	food	positive
270	From the incredible food, to the warm atmosphere, to the friendly service, this downtown neighborhood spot doesn't miss a beat.	service	positive
270	From the incredible food, to the warm atmosphere, to the friendly service, this downtown neighborhood spot doesn't miss a beat.	ambience	positive
638	Great food at REASONABLE prices, makes for an evening that can't be beat!	food	positive
638	Great food at REASONABLE prices, makes for an evening that can't be beat!	price	positive
388	this little place has a cute interior decor and affordable city prices.	ambience	positive
388	this little place has a cute interior decor and affordable city prices.	price	positive
3373	Two words: Free wine.	price	positive
425	The price is reasonable although the service is poor.	service	negative
425	The price is reasonable although the service is poor.	price	positive
3192	The quantity is also very good, you will come out satisfied.	food	positive
263	Raga's is a romantic, cozy restaurant.	ambience	positive
2384	The fried rice is amazing here.	food	positive
2962	Three courses - choices include excellent mussels, puff pastry goat cheese and salad with a delicious dressing, and a hanger steak au poivre that is out of this world.	food	positive
3404	it's a perfect place to have a amanzing indian food.	food	positive
2599	The place is so cool and the service is prompt and curtious.	service	positive
2599	The place is so cool and the service is prompt and curtious.	ambience	positive
673	At the end you're left with a mild broth with noodles that you can slurp out of a cup.	food	positive
648	I just wonder how you can have such a delicious meal for such little money.	price	positive
648	I just wonder how you can have such a delicious meal for such little money.	food	positive
1623	The wine list is excellent.	food	positive
2177	so garantuan that you can't fit them in a toaster.	food	positive
430	Ive been to many Thai restaurants in Manhattan before, and Toons is by far the best Thai food Ive had (except for my mom's of course).	food	positive
1101	They wouldnt even let me finish my glass of wine before offering another.	service	positive
324	Whem asked, we had to ask more detailed questions so that we knew what the specials were.	service	negative
2983	Nice atmosphere, the service was very pleasant and the desert was good.	food	positive
2983	Nice atmosphere, the service was very pleasant and the desert was good.	service	positive
2983	Nice atmosphere, the service was very pleasant and the desert was good.	ambience	positive
3219	Fabulous service, fantastic food, and a chilled out atmosphere and environment.	food	positive
3219	Fabulous service, fantastic food, and a chilled out atmosphere and environment.	service	positive
3219	Fabulous service, fantastic food, and a chilled out atmosphere and environment.	ambience	positive
2787	Try the lasagnette appetizer.	food	positive
825	Pricey, but worth a try, at least once.	price	negative
604	I liked the beer selection!	food	positive
2911	Great food, good size menu, great service and an unpretensious setting.	food	positive
2911	Great food, good size menu, great service and an unpretensious setting.	service	positive
2911	Great food, good size menu, great service and an unpretensious setting.	ambience	positive
912	Wine list selection is good and wine-by-the-glass was generously filled to the top.	food	positive
728	With the great variety on the menu , I eat here often and never get bored .	food	positive
2925	The menu is very limited - i think we counted 4 or 5 entrees.	food	negative
3273	Not too crazy about their sake martini.	food	negative
1215	Great bagels, spreads and a good place to hang out in.	food	positive
2511	whoever the jazz duo was, they were on POINT.	ambience	positive
282	One thing I liked about this place is that I never felt rushed or pressured to give up my table ot incoming guests.	service	positive
1562	This place is a great bargain.	price	positive
3249	Unfortunately, the food is outstanding, but everything else about this restaurant is the pits.	food	positive
3207	We always have a delicious meal and always leave feeling satisfied.	food	positive
672	Dip the ingredients in with your chopsticks, swirl them around, and eat.	food	neutral
2972	First went here to enjoy their garden terrace.	ambience	positive
2549	Everyone I have spoken too there is super friendly, helpful, and willing to the extra mile for a customer.	service	positive
1755	The pizza was pretty good and huge.	food	positive
2277	The cuisine from what I've gathered is authentic Taiwanese, though its very different from what I've been accustomed to in Taipei.	food	neutral
3680	I almost hesititate to write a review because the atmosphere was so great and I would hate for it too become to crowded.	ambience	positive
