sid	text	aspect	sentiment
1979	When you want a piece of beef, head on over.	food	positive
1767	Fish is so very fresh.	food	positive
214	Waitstaff is great, very attentive.	service	positive
2079	The staff was accomodating, the food was absolutely delicious and the place is lovely.	ambience	positive
3242	It was huge, delicious, fresh, and will be the reason we return.	food	positive
1070	A little crowded but they move that line really fast!	service	positive
2521	The environment is romantic, but the food is horrible, the service is pathetic, and gabriella lies about everything she could.	ambience	positive
1625	The only thing the waiters don't do for you is wipe your chin when you leave.	service	positive
3460	The freshest, best variety, and the fastest delivery.	service	positive
972	Have always found that the waiters will go out of their way to be helpful, despite the fact they are often busy with lots of diners.	service	positive
2554	I couldn't reccommend their Godmother pizza any higher.	food	positive
2539	The bar has various selections and the mixed drink special is a catcher! 2 for 1's.	food	positive
3392	i recommend the thai popcorn :)	food	positive
708	This place has the best interior I have seen anywhere in the northside of W'burg, and will impress whoever you bring there.	ambience	positive
2333	Dakshin is one of the few affordable and tasty Indian restaurant in the upper east side.	price	positive
2976	Great wine selection, Gigondas is worth the price, and the house champagne is a great value.	food	positive
1929	The food was delicious (I had a halibut special, my husband had steak), and the service was top-notch.	service	positive
584	Rao's has the best service and atmosphere in NYC.	ambience	positive
1288	The owners and employees are friendly and their pizza is fantastic.	service	positive
1857	The space is nice but when we order our drink we were in for a surprise.	ambience	positive
3579	I got an excellent piece of cheesecake and we had several other nice pastries.	food	positive
2995	I really like both the scallops and the mahi mahi (on saffron risotto-yum!).	food	positive
3083	The wait staff is friendly, and the food has gotten better and better!	service	positive
3443	service was efficient courteous.	service	positive
550	We have been to this place many times, and always have great food, wine, and service.	service	positive
2239	This little place definitely exceeded my expectations and you sure get a lot of food for your money.	price	positive
3345	not only does make the best pizza in NY , maybe anywhere.	food	positive
687	I'd highly recommend it for a special occasion -- it provides and intimate setting and nice service.	ambience	positive
318	The atmosphere is great if your looking for a laid back scene and an inexpensive way to spend a weekend afternoon.	price	positive
2089	Excellent dumplings served amid clean, chic decor.	ambience	positive
3605	Interesting selection, good wines, service fine, fun decor.	service	positive
57	Not the typical NYC gimmick theme restaurant.	ambience	positive
784	If you are in a big group, this place is perfect because it recomends sharing - they have lazy susans on most tables - even families can feel comfortable here.	ambience	positive
3170	Good spreads, great beverage selections and bagels really tasty.	food	positive
3367	Best of all is the warm vibe, the owner is super friendly and service is fast.	service	positive
1056	The appetizing is excellent - just as good as Zabars Barney Greengrass at a reasonable price (if bought by the pound).	price	positive
451	Also, top the meal with a delicious and perfect slice of tiramisu.	food	positive
272	Pair you food with the excellent beers on tap or their well priced wine list.	price	positive
186	The ambience is pretty and nice for conversation, so a casual lunch here would probably be best.	ambience	positive
3235	The staff has always been friendly without seeming grating, and the chef has greeted us on a couple of occasions.	service	positive
3626	If I could rate the people this place would be off the charts - unfortunately - the pizza, sorry - not the best in NYC.	service	positive
1784	This is some really good, inexpensive sushi.	price	positive
3642	The food is outstanding and the service is quick, friendly and very professional.	service	positive
250	I understand the area and folks you need not come here for the romantic, alluring ambiance or the five star service featuring a sommlier and a complicated maze of captain and back waiters - you come for the authentic foods, the tastes, the experiance.	ambience	positive
3536	The lunch special is an asbolute steal.	price	positive
3508	Great wine list, reasonably priced.--Sara	price	positive
1115	Please try the Filet Mignon, its just the most tender piece ever.	food	positive
53	So much more than the usual bar food, go there to enjoy the menu while sampling one of their hand-crafted beers.	food	positive
2128	Highly recommend this as great value for excellent sushi and service.	service	positive
428	In an area sadly lacking in decent Thai food, this is one of the best spots.	food	positive
3302	The staff offers impeccable service.	service	positive
3292	Service is top notch.	service	positive
2244	I LOVE their Thai noodles with shrimp and chicken and coconut juice is the MUST!	food	positive
1398	Delicious food, excellent service, and a pretty atmosphere make this a great choice for dinner and the $5.99 lunch buffet makes it an even better choice for lunch!	price	positive
3663	And they provided a delicious dessert on the house!	price	positive
141	This dish is my favorite and I always get it when I go there and never get tired of it.	food	positive
2742	Plus they made a perfect martini.	food	positive
1050	Not only is the cuisine the best around, the service has always been attentive and charming.	service	positive
3434	Oh, and the complimentary pudding dessert was just enough- yummy!	food	positive
381	Everything at Sala Thai is tasty and well-portioned.	food	positive
3230	The seafood is amazing, there's a good wine list, and the ever-changing menu always offers some great surprises.	food	positive
98	Ballato's is consistently delicious authentic italian food.	food	positive
493	Kosher dills are the perfect compliment for your unforgetable sandwich and they give you plenty of them.	food	positive
1622	The portions are large and the servers always surprise us with a different starter.	service	positive
2964	Not a small feat for good french food in the area.	food	positive
3410	You must try the shrimp appetizers.	food	positive
1595	We had a wonderful meal at Naples 45 a month ago on a visit to NYC.	food	positive
3544	The ambience is very romantic and definitely a good place to bring a date.	ambience	positive
3411	Even my Indian friend couldn't believe how good and tasty everything was.	food	positive
1624	The only thing more wonderful than the food (which is exceptional) is the service.	service	positive
2355	The octopus eaters were floored by the Octopus salad.	food	positive
2582	NO more reservations, expensive tips and annoying stuff.	service	positive
3709	My wife had the fried shrimp which are huge and loved it.	food	positive
1157	Right off the major deegan you get ladies from all over the city.	ambience	positive
307	This restaurant is a wonderful place to go many times and it is reasonably priced.	price	positive
817	The waiter was attentive.	service	positive
2464	IT IS DEFINITELY SPECIAL AND AFFORDABLE.	price	positive
731	Try the mediterranean salad, it is a true experience for your taste buds!!	food	positive
2843	From the complimentary chef app of a delicate butternut squash ravioli in a delicious truffle sauce to an amazing buttery and tender langostine entree to a dessert that I can't remember because of the fabulous Cakebread Cabernet we were drinking -- the whole evening was amazing.	food	positive
505	Even better, they know how to cook French classics like Steak au Poivre and Onglet without burning it to death or overcooking it.	food	positive
531	Have frequented 'ino for several years and the food remains excellent.	food	positive
3137	Also, if you don't want to sit at a certain table, you don't have to!	service	positive
386	Everything I had was good, and I'm a eater.	food	positive
1716	Lucky Strike is a great casual place to just grab a bite to eat.	food	positive
152	Quick and friendly service.	service	positive
2434	This is an amazing place to try some roti rolls.	food	positive
82	Very romantic fires - I've literally spent hours at Lanterna, drinking wine from their extensive wine and enjoying the ambience.	ambience	positive
957	The menu consisted of standard brassiere food, better then places like Balthazar etc.	food	positive
1916	It's charmingly small and that leads to an atmoshere that is extremely cozy and romantic, even.	ambience	positive
3519	The prices and ambience are especially great considering it's in the West Village.	ambience	positive
634	The prices were CHEAP compared to the quality of service and food.	service	positive
1377	I found it on a cold night, the perfect spot to warm up.	ambience	positive
541	I plan to come here again and look forward to trying their assortment of bruschetta, panini's.....	food	positive
3102	the drinks are amazing and half off till 8pm.	price	positive
1182	The food is very good for it's price, better than most fried dumplings I've had.	price	positive
2199	The best pad thai i've ever had.	food	positive
94	Excellent atmosphere, delicious dishes good and friendly service.	service	positive
2994	Kind, attentive wait staff.	service	positive
2458	It's the perfect restaurant for NY life style, it got cool design, awsome drinks and food and lot's of good looking people eating and hanging at the pink bar...	ambience	positive
1467	great eats, good times.	food	positive
1855	My husband and I enjoy Sangria.	food	positive
2150	Good drink.	food	positive
2412	Spice is sleek, modern and cool with a menu that will not hurt your wallet.	ambience	positive
491	Pastrami or corned beef are juicy and piled high (ask for extra rye bread).	food	positive
3139	Where tanks in other Chinatown restaurants display a lurking myriad of sad-looking marine life in their murky waters, the tanks at Ping's are clear as glass with healthy-looking creatures who do not yet know that they will be part of some dim sum lover's brunch.	ambience	positive
1739	Always great service!	service	positive
1750	Located at the end of a magnificent block.	ambience	positive
2123	While it's not Nobu, it sure is a great deal and you definitely will leave feeling satisfied and full.	price	positive
3315	Add to that great service and great food at a reasonable price and you have yourself the beginning of a great evening.	service	positive
3223	My mouth starts to water merely thinking about the delight that is this restaurant.	food	positive
2463	THR AT MOSHPHERE IS COMPACT, MODERN, YET COZY.	ambience	positive
1672	The food is awesome - definitely try the striped bass.	food	positive
2200	The design and atmosphere is just as good.	ambience	positive
2468	I don't like Indian food too much and this was delicious, however you want to factor that into the equation.	food	positive
2784	All the pastas are fantastic and the homemade lasagna is some of the best that I have had in the City.	food	positive
3376	Order the panang duck, it's fantastic.	food	positive
1956	If you're looking for a great meal at a decent price, go to Del Frisco's!	price	positive
759	For great chinese food nearby, you have Wu Liang Ye and Grand Sichuan just a block away.	food	positive
3707	Best Pastrami I ever had and great portion without being ridiculous.	food	positive
3249	Unfortunately, the food is outstanding, but everything else about this restaurant is the pits.	food	positive
1490	Both the fresh mozzerella slices and the Plain Cheese slice are phenomenal.	food	positive
2498	Tuk Tuk is one of those comfortable neighborhood joints where you know you will always have a good meal at a fair price.	price	positive
1321	Its an excellent place to relax and the food is one of the best in the city of New York.	ambience	positive
2645	BUt their best dish is thh Thai spiced curry noodles with shrimp - a dish that would cost $23.95 is most places, but it is $16 here.	price	positive
2467	Great wine, great food.	food	positive
3681	The food was very good, a great deal, and the place its self was great.	ambience	positive
1023	They've the best desserts and mixed drinks as well as snack foods.	food	positive
2512	good music, great food, speedy service affordable prices.	price	positive
2316	Not a typical pizza joint, but good for a low key and fairly cheap nice sit down dinner.	price	positive
351	Try sushimi cucumber roll.	food	positive
2146	The staff makes you feel at home, the food is great and the atmosphere is WONDERFUL!	ambience	positive
3581	My son and his girlfriend both wanted cheeseburgers and they were huge!	food	positive
2564	They treat me like family, morning and night.	service	positive
3320	Baluchi's has solid food and a nice decor at reasonable prices.	ambience	positive
28	Food was average but tasty.	food	positive
2125	Largest and freshest pieces of sushi, and delicious!	food	positive
1610	The pizza was great.	food	positive
387	It was pretty inexpensive too.	price	positive
2768	Although the tables may be closely situated, the candle-light, food-quality and service overcompensate.	service	positive
2623	If you are looking for a good quality, cheap eats - this is the place.	price	positive
