speech	line_num	text
1966_lee_kuan_yew	1	It is useful this evening not so much to go back to the past – the whys and the wherefores – to apportion blame but more to search deep into our hearts to ask if the things we set out to do were right or wrong; were good or bad.
1966_lee_kuan_yew	2	And I say that we have no regrets.
1966_lee_kuan_yew	3	We are completely unrepentant that we set out to build a multiracial and, for some time, a multilingual, multicultural community, to give a satisfying life to the many different kinds of people who foregathered here in over 150 years of the British Raj.
1966_lee_kuan_yew	4	And we, in the end, on balance decided to carry on with our multiracial experiment – if you like to call it – just in Singapore alone rather than be forced into large-scale conflict in Malaysia.
1966_lee_kuan_yew	5	Nothing has altered, not the basic data nor our basic thinking.
1966_lee_kuan_yew	6	What has altered are the circumstances in which we now find ourselvesFrom 1961 to 1963, we fought for merger, to sink ourselves in the identity of a bigger whole.
1966_lee_kuan_yew	7	Between 1963 and 1965, we found ourselves gradually embroiled in something which we half suspected but never quite admitted was possible within such a multi-racial situation.
1966_lee_kuan_yew	8	And in 1965, with decisive suddenness, we found ourselves asunder.
1966_lee_kuan_yew	9	All the while, despite all the political unpleasantness that followed, we were making progress.
1966_lee_kuan_yew	10	Imports went up and so did exports.
1966_lee_kuan_yew	11	These are facts and figures, not fictions of the imagination of my colleague, the Minister for Finance.
1966_lee_kuan_yew	12	They have checked against every indent that goes in and out of the Port of Singapore Authority.
1966_lee_kuan_yew	13	They have checked against our revenue on the same rates of taxation; the number of factories, the people they employ, the goods they produce, their value; the housing being built.
1966_lee_kuan_yew	14	And they tell a story which we have very little to be ashamed of.
1966_lee_kuan_yew	15	Almost in spite of ourselves, we have forged ahead; revenue has gone up 10 per cent; the economy is surging forwardWe believed – and we still believe – that that salvation lies in an integrated society.
1966_lee_kuan_yew	16	I use the word advisedly – 'integrated' as against 'assimilated'.
1966_lee_kuan_yew	17	I would not imagine for one moment a Singapore Government trying to assimilate everybody.
1966_lee_kuan_yew	18	You know, 75 percent Chinese trying to convert 10 percent Tamils and Hindus and Tamil Muslims and Northern Indian Muslims into good ‘Chinamen’ – or not even good old Chinamen: good old ‘Overseas Chinese’, Singapore brand, Singapore type.
1966_lee_kuan_yew	19	I would not try it; it is not worth the effort.
1966_lee_kuan_yew	20	Nor would I try it with the other groups.
1966_lee_kuan_yew	21	Certainly, not my colleague like Encik Othman who has been here for many, many generations; or even my colleague like Tuan Haji Ya’acob from Kelantan where he was born.
1966_lee_kuan_yew	22	Why should we try the impossible?
1966_lee_kuan_yew	23	But I say integration is possible – not to make us one grey mass against our will, against our feelings, against our inclinations, but to integrate us with common values, common attitudes, a common outlook, certainly a common language and eventually, a common culture.
1966_lee_kuan_yew	24	I think it is reassuring on an anniversary to weigh the odds to see how we have performed, the promises against the performances.
1966_lee_kuan_yew	25	And my experiences of Singapore and her young, active, energetic if somewhat exuberant people is that given honest and effective leadership, an honest administration within which to bring forth themselves, they will make the grade.
1966_lee_kuan_yew	26	""Every year, on this 9th August for many years ahead – how many, I do not know – we will dedicate ourselves anew to consolidate ourselves to survive; and, most important of all, to find an enduring future for what we have built and what our forebears will build up.
1966_lee_kuan_yew	27	Thank you.
1991_goh_chok_tong	1	TRANSCRIPT OF PR1I\1E MINISTER GOH CHOK TONG'SNATIONAL DAY RALLY SPEECH (ENGLISH)
1991_goh_chok_tong	2	ON 11 AUGUST1991Friends and fellow citizens, this is a big occasion for me.
1991_goh_chok_tong	3	It is alsoa difficult occasion.
1991_goh_chok_tong	4	I said that I was not going to wear Mr Lee KuanYew's shoes, but I found myself stepping into his shoes tonight.
1991_goh_chok_tong	5	I am notgoing to follow his act.
1991_goh_chok_tong	6	I am going to walk my own way.
1991_goh_chok_tong	7	I have tobecause, as you know, my knowledge of Malay is minimal.
1991_goh_chok_tong	8	I would haveto spend quite a lot of effort in order to make a speech in Malayafterwards.
1991_goh_chok_tong	9	My knowledge of Mandarin is a little better because I spent sometime over the last two years to learn my Mandarin.
1991_goh_chok_tong	10	But still, as with Malay,I would require the assistance of the auto-cue.
1991_goh_chok_tong	11	You see these twocontraptions over here.
1991_goh_chok_tong	12	They are parts of the auto-cue to assist me in myMalay and Mandarin speeches.(Remarks in Bahasa Melayu and Mandarin).Friends and fellow citizens, when I assumed the premiership inNovember, I discussed with my colleagues how we should pay tribute toMr Lee Kuan Yew.
1991_goh_chok_tong	13	I suggested that we should hold a special session ofParliament in order to pass a resolution to allow members of Parliament topay tribute to Mr Lee Kuan Yew.
1991_goh_chok_tong	14	My colleagues agreed.
1991_goh_chok_tong	15	I then put it toMr Lee.
1991_goh_chok_tong	16	He said it was not necessary.
1991_goh_chok_tong	17	Here is a man who has given hislife to Singaporeans in order that we can all be better off.
1991_goh_chok_tong	18	Here is a manwho has fought for independence, gave us merdeka, dignity and prosperity.
1991_goh_chok_tong	19	I will be derelict in my duty tonight if I do not ask you to show him ourappreciation.
1991_goh_chok_tong	20	Thank you.
1991_goh_chok_tong	21	I feel much better now.
1991_goh_chok_tong	22	I owe Mr Lee one.
1991_goh_chok_tong	23	Mr Leeand a whole generation of Singaporeans have got us to where we are today.
1991_goh_chok_tong	24	I want to build on your successes.
1991_goh_chok_tong	25	I want to do this by reinforcing inSingaporeans a sense of family.
1991_goh_chok_tong	26	For a country to make progress, we must have a strong sense ofbelonging to one another, of caring for one another.
1991_goh_chok_tong	27	We cannot separatethe communities living in Singapore, say Malays in Geylang Serai, and theChinese in Chinatown, Indians in Serangoon Gardens.
1991_goh_chok_tong	28	If we do that andthe communities do not mix, each community will be isolated fromanother.
1991_goh_chok_tong	29	There will be no sense of relationship.
1991_goh_chok_tong	30	That will spell for bigtrouble for Singapore.
1991_goh_chok_tong	31	If we are not careful, over time, tension wi11 evenbuild up between the communities and the country can even break up.6.
1991_goh_chok_tong	32	I want to illustrate this by pointing to the example of Yugoslavia.
1991_goh_chok_tong	33	Yugoslavia is a multi-ethnic country.
1991_goh_chok_tong	34	It is an artificial country createdafter the First World War.
1991_goh_chok_tong	35	Like Singapore, it is actually not a nation.
1991_goh_chok_tong	36	It isa country created by politicians, but not a nation.
1991_goh_chok_tong	37	There are severalcommunities living within Yugoslavia, but the three main ones are theSerbs, the Croats and the Slavians.
1991_goh_chok_tong	38	The Serbs are Orthodox Christians, orthey belong to the Orthodox Church.
1991_goh_chok_tong	39	They form some 3 7 per cent of thepopulation of Yugoslavia, which is about 23 million people.
1991_goh_chok_tong	40	The Croatsare mainly Roman Catholics.
1991_goh_chok_tong	41	They form 20 per cent of the population.7.
1991_goh_chok_tong	42	You see what is happening in Yugoslavia now.
1991_goh_chok_tong	43	It was heldtogether for over 40 years because there was a strong centre whichcontrolled the people and got them to stay together.
1991_goh_chok_tong	44	After Tito died, thecentre weakened and the latent ethnic tensions and antagonism againemerged.
1991_goh_chok_tong	45	The tensions were always there and they emerged when thecentre became weaker.
1991_goh_chok_tong	46	The different people in Yugoslavia do not considerthemselves one people.
1991_goh_chok_tong	47	They do not want to share the same destiny.
1991_goh_chok_tong	48	TheSlavians want to have their own country.
1991_goh_chok_tong	49	The Croats also want to havetheir own independent country.8.
1991_goh_chok_tong	50	If Singaporean Chinese, Malays, Indians, Eurasians do not begin tocare for one another, to care for each other's welfare, we may go the sameway.
1991_goh_chok_tong	51	It is not easy to build up this sense of family amongst people ofdifferent races, but we must try.
1991_goh_chok_tong	52	We can try and build up an extendedfamily of Singaporeans.
1991_goh_chok_tong	53	To do so, to succeed in our venture, everySingaporean should be treated equally.9.
1991_goh_chok_tong	54	It is important that the rich and powerful are not favoured overordinary Singaporeans.
1991_goh_chok_tong	55	If we do not treat Singaporeans equa11y, there is noreason for ordinary Singaporeans to support the system because the systemonly benefits the rich and the powerful.
1991_goh_chok_tong	56	You cannot have cohesion withinthe country if the country is divided.
1991_goh_chok_tong	57	In fact, the rich and powerful areexploiting the ordinary people.
1991_goh_chok_tong	58	Now, Japan is a cohesive society.
1991_goh_chok_tong	59	It isbecause of this concern over the possibility of loosening this cohesion thattheir securities scandal is causing alarm among Japanese.10.
1991_goh_chok_tong	60	In June this year, the four largest Japanese securities housesNomura, Daiwa, Nikko and Yamaichi --compensated favoured clients.
1991_goh_chok_tong	61	These are big clients of the four stock houses.
1991_goh_chok_tong	62	They had a priorarrangement that if the stock houses lost money for the big clients, theywould be compensated.
1991_goh_chok_tong	63	But the small investors were not compensated.
1991_goh_chok_tong	64	When this became public knowledge, there was a public outcry.
1991_goh_chok_tong	65	It is notillegal for the stock houses to have this arrangement because they want tohave their clients' business.
1991_goh_chok_tong	66	They can give them a guarantee against losses.
1991_goh_chok_tong	67	It is not illegal, but that is not the point.
1991_goh_chok_tong	68	The worry is that the systemfavours the rich and the powerful.
1991_goh_chok_tong	69	The ordinary people are not part of thisinvestment losses protection scheme.
1991_goh_chok_tong	70	So, this worries the Japanese.11.
1991_goh_chok_tong	71	We cannot allow that to happen in Singapore.
1991_goh_chok_tong	72	We certainly do notwant this to happen to Singapore.
1991_goh_chok_tong	73	We got to ensure that our system is suchthat it would not favour the rich and powerful because if there is such asystem, we cannot build a cohesive nation.
1991_goh_chok_tong	74	We will not be able toreinforce this sense of family togetherness among Singaporeans.12.
1991_goh_chok_tong	75	The examples in Singapore must be set by people at the top.
1991_goh_chok_tong	76	ThePresident, the Prime Minister, the Cabinet ministers, the civil servants, theChief Executives of corporations, the successful businessmen.
1991_goh_chok_tong	77	They mustset the example of not extracting from the system at the benefit of ordinarySingaporeans.
1991_goh_chok_tong	78	But you know we cannot legislate for honesty.
1991_goh_chok_tong	79	It is notpossible to have legislation to make a person honest.
1991_goh_chok_tong	80	But we can havelegislation to prevent people from inclining to be dishonest because theycan be punished by the system if they are inclined to be dishonest.
1991_goh_chok_tong	81	It is forthis reason that when we were discussing this Elected Presidency Bill, wedecided to include a provision that should the Prime Minister not supportCPIB when the CPIB is investigating into ministers, the CPIB could stillinvestigate if the elected President concurs.
1991_goh_chok_tong	82	Now, I was going to be thePrime Minister
1991_goh_chok_tong	83	but I was more than happy to subject myself to thatadditional check and balance.
1991_goh_chok_tong	84	It is necessary to set an example forSingaporeans that we run a fair system and people at the top are subject tosimilar checks and balances as for ordinary Singaporeans.13.
1991_goh_chok_tong	85	It is more important, however, to ensure that honest people with theright values are in charge of key institutions, Parliament, the Civil Service,MAS, statutory boards and so on.
1991_goh_chok_tong	86	Now, again, I can give you an exampleof what would have happened had we did not have honest men in charge ofMAS.
1991_goh_chok_tong	87	You know the BCCI case, the Bank of Credit and CommerceInternational.
1991_goh_chok_tong	88	It is the biggest bank fraud in the world --bank used by gunrunners, drug smugglers, corrupt dictators, money launderers.
1991_goh_chok_tong	89	This bankhas a presence in 69 countries.
1991_goh_chok_tong	90	It tried to apply for a branch to be openedin Singapore, but it did not succeed14.
1991_goh_chok_tong	91	It first applied for a license in 1973.
1991_goh_chok_tong	92	It was rejected because thebank had no track record.
1991_goh_chok_tong	93	But it persisted several times using highpowered intermediaries to get the decision reversed.
1991_goh_chok_tong	94	They used Mr VanOenen who was the head of the Bank of America branch in Singapore inthe 1970s.
1991_goh_chok_tong	95	He was a man who helped us to start the Asian currency Unit,so there was a certain obhgation to him.
1991_goh_chok_tong	96	The bank also used a formerBritish Prime Minister who is close to Mr Lee Kuan Yew but still the replywas "no".
1991_goh_chok_tong	97	Successive managing directors of MAS --Dr
1991_goh_chok_tong	98	Goh Keng Swee,the late Mr Hon Sui Sen, Yong Pung How, Richard Hu, Joe Pillay and LeeEk Tieng --all turned down the apphcatlon.
1991_goh_chok_tong	99	They based their decision onthe simple criterion of whether the bank was reputable or not.
1991_goh_chok_tong	100	In otherwords, they upheld the high standards and principles necessary forSingapore to succeed as a financial centre.
1991_goh_chok_tong	101	I thank my lucky stars that wehave such men in charge.
1991_goh_chok_tong	102	Otherwise, I will be picking up the problems, notMr Lee Kuan Yew because he is no longer in charge.15.
1991_goh_chok_tong	103	Just look at the Hong Kong depositors.
1991_goh_chok_tong	104	l understand that theydeposited over US$1 bmion.
1991_goh_chok_tong	105	Most of the funds wm be lost.
1991_goh_chok_tong	106	They cannotbe recovered.
1991_goh_chok_tong	107	Now, had that happened to Singaporeans, you can imaginethe problem that we will be facing now.
1991_goh_chok_tong	108	Trying to calm downSingaporeans over their losses in this bank because we gave them thelicense to operate in Singapore.
